alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Einhell Expert,,"https://assets.einhell.com/manuals-pdf/900_487586/te-hp-170.pdf,https://assets.einhell.com/manuals-pdf/900_487587/te-hp-170.pdf,https://assets.einhell.com/manuals-pdf/900_487588/te-hp-170.pdf,https://assets.einhell.com/manuals-pdf/900_487589/te-hp-170.pdf",,TE-HP 170,,High Pressure Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_487338/,Instructions,https://www.isc-gmbh.info/isc_de_en/-8534.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_410980/tc-sd-3%2C6v-li-kit%3B-ex%3B-arg.pdf,,"TC-SD 3,6V Li Kit; EX; ARG",,Cordless Screwdriver Kit,en,Cordless screwdriver,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_412616/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/tools/screwdriver/cordless-screwdriver/tc-sd-3-6v-li-kit-ex-arg.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_418089/tc-ci-12-li%3B-ex%3B-uk.pdf,,TC-CI 12 Li; EX; UK,,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_347067/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-ci-12-li-ex-uk.html,
,Einhell Red,,"https://assets.einhell.com/manuals-pdf/900_194275/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_194276/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_194277/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196082/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196085/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196090/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196083/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196086/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196091/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196081/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196084/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196088/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196080/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196087/rt-sd-3%2C6-1-li-kit.pdf,https://assets.einhell.com/manuals-pdf/900_196089/rt-sd-3%2C6-1-li-kit.pdf",,"RT-SD 3,6/1 Li Kit",,Cordless Screwdriver Kit,en,Cordless screwdriver,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184259/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/tools/screwdriver/cordless-screwdriver/rt-sd-3-6-1-li-kit.html,
,Einhell Red,,"https://assets.einhell.com/manuals-pdf/900_194437/rt-sd-4%2C8.pdf,https://assets.einhell.com/manuals-pdf/900_196719/rt-sd-4%2C8.pdf,https://assets.einhell.com/manuals-pdf/900_196722/rt-sd-4%2C8.pdf,https://assets.einhell.com/manuals-pdf/900_196720/rt-sd-4%2C8.pdf,https://assets.einhell.com/manuals-pdf/900_196721/rt-sd-4%2C8.pdf",,"RT-SD 4,8",,Cordless Screwdriver,en,,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184760/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/tools/screwdriver/cordless-screwdriver/rt-sd-4-8-2.html,
,Einhell Red,,"https://assets.einhell.com/manuals-pdf/900_194150/rt-sd-4%2C8-.pdf,https://assets.einhell.com/manuals-pdf/900_195595/rt-sd-4%2C8-.pdf,https://assets.einhell.com/manuals-pdf/900_195596/rt-sd-4%2C8-.pdf,https://assets.einhell.com/manuals-pdf/900_195597/rt-sd-4%2C8-.pdf,https://assets.einhell.com/manuals-pdf/900_195594/rt-sd-4%2C8-.pdf",,"RT-SD 4,8+",,Cordless Screwdriver,en,,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_183841/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/tools/screwdriver/cordless-screwdriver/rt-sd-4-8-1.html,
,Einhell Expert,,"https://assets.einhell.com/manuals-pdf/900_470407/te-sd-3%2C6-1-li.pdf,https://assets.einhell.com/manuals-pdf/900_470408/te-sd-3%2C6-1-li.pdf,https://assets.einhell.com/manuals-pdf/900_470409/te-sd-3%2C6-1-li.pdf,https://assets.einhell.com/manuals-pdf/900_470410/te-sd-3%2C6-1-li.pdf,https://assets.einhell.com/manuals-pdf/900_470411/te-sd-3%2C6-1-li.pdf,https://assets.einhell.com/manuals-pdf/900_470412/te-sd-3%2C6-1-li.pdf",,"TE-SD 3,6/1 Li",,Cordless Screwdriver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_424838/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-sd-3-6-1-li.html,
,Einhell Expert Plus,,"https://assets.einhell.com/manuals-pdf/900_499094/te-cw-18-li-bl-solo%3B-ex%3B-usa.pdf,https://assets.einhell.com/manuals-pdf/900_499095/te-cw-18-li-bl-solo%3B-ex%3B-usa.pdf,https://assets.einhell.com/manuals-pdf/900_499096/te-cw-18-li-bl-solo%3B-ex%3B-usa.pdf",,TE-CW 18 Li BL-Solo; EX; USA,,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_483347/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-cw-18-li-bl-solo-ex-usa.html,
,Einhell Expert Plus,,"https://assets.einhell.com/manuals-pdf/900_476049/te-ci-18-li-bl-solo%3B-ex%3B-us.pdf,https://assets.einhell.com/manuals-pdf/900_476050/te-ci-18-li-bl-solo%3B-ex%3B-us.pdf,https://assets.einhell.com/manuals-pdf/900_476051/te-ci-18-li-bl-solo%3B-ex%3B-us.pdf",,TE-CI 18 Li BL-Solo; EX; US,,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_480874/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-ci-18-li-bl-solo-ex-us.html,
,Einhell Expert Plus,,"https://assets.einhell.com/manuals-pdf/900_448570/te-ci-18-1-li-solo%3Bex%3B-us.pdf,https://assets.einhell.com/manuals-pdf/900_455541/te-ci-18-1-li-solo%3Bex%3B-us.pdf",,TE-CI 18/1 Li-Solo;Ex; US,,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_450218/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-ci-18-1-li-solo-ex-us.html,
,Einhell Expert Plus,,https://assets.einhell.com/manuals-pdf/900_444655/te-ci-18-li-bl-solo%3Bex%3Barg.pdf,,TE-CI 18 LI BL-SOLO;EX;ARG,,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_459314/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-ci-18-li-bl-solo-ex-arg.html,
,Einhell Expert Plus,,https://assets.einhell.com/manuals-pdf/900_431727/te-ci-18-1-li-solo%3B-ex%3B-br.pdf,,TE-CI 18/1 Li-Solo; EX; BR,,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_423067/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-ci-18-1-li-solo-ex-br.html,
,Einhell Expert Plus,,"https://assets.einhell.com/manuals-pdf/900_416100/te-ci-18-1-li-%281x2%2C0ah%29.pdf,https://assets.einhell.com/manuals-pdf/900_416101/te-ci-18-1-li-%281x2%2C0ah%29.pdf,https://assets.einhell.com/manuals-pdf/900_416102/te-ci-18-1-li-%281x2%2C0ah%29.pdf,https://assets.einhell.com/manuals-pdf/900_416103/te-ci-18-1-li-%281x2%2C0ah%29.pdf,https://assets.einhell.com/manuals-pdf/900_416099/te-ci-18-1-li-%281x2%2C0ah%29.pdf",,"TE-CI 18/1 Li (1x2,0Ah)",,Cordless Impact Driver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_417857/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-ci-18-1-li-1x2-0ah.html,
